,metabolite_id,metabolite_name_x,cross_feeeding_health,produced_by_health,consumed_by_health,produced_count_health,consumed_count_health,MES_health,metabolite_name_y,cross_feeeding_CRC,produced_by_CRC,consumed_by_CRC,produced_count_CRC,consumed_count_CRC,MES_CRC,MES_diff
419,cholate_medium,Cholate,TRUE,"['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Collinsella', 'Bacteroides', 'Fusobacterium', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Bifidobacterium', 'Parabacteroides', 'Barnesiella']","['Escherichia', 'Collinsella', 'Ruminococcus']",13,3,4.875,Cholate,TRUE,"['Paraprevotella', 'Barnesiella', 'Bifidobacterium', 'Bacteroides', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Roseburia', 'Alistipes']","['Escherichia', 'Collinsella', 'Coprococcus', 'Ruminococcus']",15,4,6.315789474,-1.440789474
12,gly_medium,Glycine,TRUE,"['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']","['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Veillonella', 'Dialister', 'Streptococcus']",25,22,23.40425532,Glycine,TRUE,"['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium']","['Faecalibacterium', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium']",27,23,24.84,-1.435744681
367,glyc3p_medium,Glycerol 3-phosphate,TRUE,"['Escherichia', 'Haemophilus', 'Klebsiella', 'Barnesiella', 'Veillonella']","['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Fusobacterium', 'Subdoligranulum', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Bifidobacterium', 'Klebsiella', 'Barnesiella', 'Veillonella']",5,13,7.222222222,Glycerol 3-phosphate,TRUE,"['Barnesiella', 'Odoribacter', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia']","['Barnesiella', 'Subdoligranulum', 'Bifidobacterium', 'Sutterella', 'Odoribacter', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium']",6,15,8.571428571,-1.349206349
115,pi_medium,hydrogenphosphate,TRUE,"['Escherichia', 'Clostridium', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Bifidobacterium', 'Klebsiella', 'Barnesiella', 'Veillonella', 'Dialister']","['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']",10,27,14.59459459,hydrogenphosphate,TRUE,"['Paraprevotella', 'Barnesiella', 'Bifidobacterium', 'Sutterella', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Ruminococcus', 'Clostridium']","['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium']",11,28,15.79487179,-1.2002772
119,glc_D_medium,D-glucose,TRUE,"['Dorea', 'Eubacterium', 'Bacteroides', 'Megamonas', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Streptococcus']","['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Lachnospiraceae', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Haemophilus', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Streptococcus']",10,23,13.93939394,D-glucose,TRUE,"['Faecalibacterium', 'Megamonas', 'Bifidobacterium', 'Bacteroides', 'Klebsiella', 'Dorea', 'Coprococcus', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia']","['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Bacteroides', 'Odoribacter', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae']",11,24,15.08571429,-1.146320346
340,arg_L_medium,L-argininium(1+),TRUE,"['Escherichia', 'Clostridium', 'Acidaminococcus', 'Bacteroides', 'Haemophilus', 'Klebsiella', 'Parabacteroides']","['Escherichia', 'Clostridium', 'Collinsella', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Haemophilus', 'Alistipes', 'Prevotella', 'Klebsiella', 'Parabacteroides']",7,11,8.555555556,L-argininium(1+),TRUE,"['Bacteroides', 'Odoribacter', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Coprococcus', 'Clostridium', 'Parabacteroides']","['Bacteroides', 'Odoribacter', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Coprococcus', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Alistipes']",8,12,9.6,-1.044444444
20,succ_medium,Succinate,TRUE,"['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Phascolarctobacterium', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']","['Escherichia', 'Akkermansia', 'Phascolarctobacterium', 'Bacteroides', 'Fusobacterium', 'Megamonas', 'Sutterella', 'Haemophilus', 'Alistipes', 'Faecalibacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister']",24,16,19.2,Succinate,TRUE,"['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Alistipes', 'Phascolarctobacterium']","['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Megamonas', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Fusobacterium', 'Parabacteroides', 'Alistipes', 'Phascolarctobacterium']",25,17,20.23809524,-1.038095238
422,gthox_medium,Oxidized glutathione,TRUE,"['Eubacterium', 'Lachnospiraceae', 'Ruminococcus', 'Faecalibacterium']","['Eubacterium', 'Lachnospiraceae', 'Ruminococcus', 'Alistipes', 'Faecalibacterium', 'Barnesiella']",4,6,4.8,Oxidized glutathione,TRUE,"['Faecalibacterium', 'Coprococcus', 'Ruminococcus', 'Eubacterium', 'Lachnospiraceae']","['Faecalibacterium', 'Barnesiella', 'Coprococcus', 'Ruminococcus', 'Eubacterium', 'Lachnospiraceae', 'Alistipes']",5,7,5.833333333,-1.033333333
311,melib_medium,Melibiose,TRUE,"['Dorea', 'Eubacterium', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Faecalibacterium', 'Klebsiella']","['Dorea', 'Eubacterium', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Klebsiella', 'Parabacteroides']",8,11,9.263157895,Melibiose,TRUE,"['Faecalibacterium', 'Subdoligranulum', 'Megamonas', 'Klebsiella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Fusobacterium', 'Eubacterium']","['Faecalibacterium', 'Subdoligranulum', 'Megamonas', 'Bacteroides', 'Klebsiella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Roseburia']",9,12,10.28571429,-1.022556391
24,val_L_medium,L-valine,TRUE,"['Escherichia', 'Clostridium', 'Phascolarctobacterium', 'Lachnospiraceae', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Haemophilus', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Veillonella', 'Streptococcus']","['Escherichia', 'Clostridium', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Veillonella', 'Dialister', 'Streptococcus']",16,21,18.16216216,L-valine,TRUE,"['Faecalibacterium', 'Paraprevotella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Bacteroides', 'Odoribacter', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Streptococcus', 'Lachnospiraceae', 'Phascolarctobacterium']","['Faecalibacterium', 'Paraprevotella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium']",17,22,19.17948718,-1.017325017
435,indole_medium,Indole,TRUE,"['Escherichia', 'Akkermansia', 'Sutterella', 'Alistipes']","['Escherichia', 'Akkermansia', 'Sutterella']",4,3,3.428571429,Indole,TRUE,"['Sutterella', 'Odoribacter', 'Escherichia', 'Coprococcus', 'Alistipes']","['Sutterella', 'Odoribacter', 'Escherichia', 'Coprococcus']",5,4,4.444444444,-1.015873016
11,glu_L_medium,L-glutamate(1-),TRUE,"['Dorea', 'Escherichia', 'Clostridium', 'Collinsella', 'Phascolarctobacterium', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Veillonella', 'Dialister', 'Streptococcus']","['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']",22,26,23.83333333,L-glutamate(1-),TRUE,"['Faecalibacterium', 'Paraprevotella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Streptococcus', 'Roseburia', 'Alistipes', 'Phascolarctobacterium']","['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium']",23,27,24.84,-1.006666667
8,lys_L_medium,L-lysinium(1+),TRUE,"['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Haemophilus', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']","['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']",24,27,25.41176471,L-lysinium(1+),TRUE,"['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Phascolarctobacterium']","['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium']",25,28,26.41509434,-1.003329634
